Name,Position,SS Number,Year,Party Number,Class,Label
Vilis Janums,Born 7 January 1894. Commander in the 15th Waffen Grenadier Division of the SS (1st Latvian). Died 6 August 1981,,,,2.2,Standartenführer
Rudolf Lange,Born 18 April 1910. SD Commander of Latvia  Commander Einsatzkommando A-2. Wannsee Conference participant. Died c. 23 February 1945,93501,1 March 1933,1159583,2.2,Standartenführer
Michael Lippert,Born 24 April 1897. Killed SA leader Ernst Röhm July 1934. SS-Totenkopf Officer then Commander of the NCO School of the Waffen-SS in Arnhem (the Netherlands). In 1957  he was sentenced to 18 months in prison by a West German court for his part in Röhm's murder. Died 1 September 1969,2 968,10 March 1931,246 989,2.2,Standartenführer
Enno Lolling,Born 19 July 1888. Concentration Camps Inspectorate; Physician with Amt D III of the SS-Wirtschafts-Verwaltungshauptamt for Medical Services and Camp Hygiene  with headquarters at Oranienburg. Died 27 May 1945,179 765,28 August 1933,4 691 483,2.2,Standartenführer
Josef Albert Meisinger,Born 14 September 1899. The Butcher of Warsaw as Commander of the Security Police and SD. Tried and executed 7 March 1947,36134,5 March 1933,3201697,2.2,Standartenführer
Rudolf Mildner,b.7 July 1902. The chief of the Gestapo at Katowice and was the head of the political department at Auschwitz  conducting third degree methods of interrogation from March 1941 until September 1943. As such  he frequently sent prisoners to Auschwitz for incarceration or execution. He visited Auschwitz on several occasions. In December 1944  he was appointed chief of the SiPo  Gestapo and SD in Vienna. After the war  Mildner testified at the Nuremberg Trials and remained in custody until released in 1949. Post War fate unknown; According to CIA report was allowed to escape to South America.,275.741,1935,614.080,2.2,Standartenführer
Erich Mix,Born 27 June 1898 Trzcińsk. Served in World War I and World War II. Also Mayor of Settina and Wiesbaden. Died 9 April 1971,132400,1 September 1933,1.334.064,2.2,Standartenführer
Professor Dr. Wilhelm Pfannenstiel,Born 12 February 1890. SS physician at Bełżec and Auschwitz. After the war he was interned by the Americans until 1950. Died 1 November 1982.,273083,1934,2828629,2.2,Standartenführer
Joachim Peiper,Born 30 January 1915. Waffen-SS Commander of LSSAH Kampfgruppe Peiper (the unit involved in the Malmedy massacre) (branch: Panzertruppe) Sentenced to execution in 1946; sentence commuted and released in 1956. Killed by person or persons unknown 14 July 1976.,132496,16 Oct 1933,,2.2,Standartenführer
Heinrich Petersen,Commander of 18th SS Volunteer Panzer Grenadier Division Horst Wessel,134.299,,964.574,2.2,Standartenführer
Ruediger Pipkorn,Born 19 November 1909. 1945 commander of 35th SS and Police Grenadier Division. Killed 25 April 1945,,,,2.2,Standartenführer
Walther Rauff Vanghøj,Born 19 June 1906. Spearheaded gas van engineering. Died 14 May 1984,290.947,January 1938,5.216.415,2.2,Standartenführer
Alfons Rebane,Born 24 June 1908. Awarded Knight's Cross of the Iron Cross. Nicknamed Estonian Rommel. Postwar worked for MI6 and involved in Operation Jungle. Died 8 March 1976,,,,2.2,Standartenführer
Karl Raddatz,Chief of Staff to SS-Obergruppenführer and General der Waffen-SS und der Polizei Karl Gutenberger. Involved in Operation Karnival March 1945 which resulted in death of Dutch Border Guard Jozef Saive and Aachen Mayor Franz Oppenhoff. 22.10.1949 is also accused by the jury court of the Aachen Regional Court for aiding and abetting manslaughter in combination with crimes against humanity sentenced to 4 years in prison and 3 years of loss of honour. On 22.09.1952 sentence commuted to 18 months,,,,2.2,Standartenführer
Sverre Riisnæs,Born 6 Nov 1897. Minister of Justice Quisling Government of Norway. Died 21 June 1988,,,,2.2,Standartenführer
Arthur Rödl,KZ Commander -Gross-Rosen concentration camp; Buchenwald concentration camp;,1.240,1928,98.023,2.2,Standartenführer
Rudolf Scheide,Born 24 December 1908. Acquitted at Pohl Trial,2.351,1930,93.508,2.2,Standartenführer
Max Schimmelpfennig,Born 25 February 1896. Commander of SS-Unterführerschule Posen-Treskau 1 May 1943 – fall 1943. Cammander of SS- und Waffen-Unterführerschule Laibach fall 1943 – 17 February 1945. Died 12 September 1982,422.167,,3.683.016,2.2,Standartenführer
Heinrich Seetzen,Born 22 June 1906. Died 28 September 1945 (suicide),267 231,1 February 1935,2 732 725,2.2,Standartenführer
Wolfram Sievers,Born 10 July 1905. Himmler's personnel StaffGeneral Secretary of the AhnenerbeDeputy of Managing Board of Directors of Reich Research Council. Executed 2 June 1948,275325,1935,144983,2.2,Standartenführer
Josef Spacil,Born 3 January 1907. SS economist at the Higher SS and Police Leader office for southern Russia. Chief of Section II RSHA. Died 8 June 1967,6797,10 April 1931,1 200 941,2.2,Standartenführer
Günther Tamaschke,Born 26 February 1896. Commandant of the Lichtenburg and Ravensbrück concentration camps. Died 14 October 1959,851,1927,36 978,2.2,Standartenführer
Hilmar Wäckerle,First commandant of Dachau concentration camp,9.729,1 March 1931,530.715,2.2,Standartenführer
Ernst Woermann,Born 30 March 1888. On 11 April 1949 Woermann was sentenced to 7 years in prison. On 12 December  it was lowered to 5 years. However  he was released early in 1950 or 1951. Died 5 July 1979.,,,4.789.453,2.2,Standartenführer
Wilhelm Zander,Born 22 April 1911. Was an adjutant to Martin Bormann. Died 27 September 1974.,27789,,552659,2.2,Standartenführer
Fritz Arlt,Born 12 April 1912. Died 21 April 2004,,,1.376.685,2.3,Obersturmbannführer
Georg Betz,Born 15 June 1903. SS officer who served as Adolf Hitler's personal co-pilot and Hans Baur's substitute. Died 2 May 1945,625419,1932,,2.3,Obersturmbannführer
Helmut Bischoff,Gestapo chief of Poznań and Magdeburg; director of security for the V-weapons program,272403,November  1935,203122,2.3,Obersturmbannführer
Johannes Karl Bernhard Bobermin,Born 1 October 1903 at the Pohl trial sentenced to 20 years – reduced to 15 years. Died February 1960,139.845,September 1933,2.633.234,2.3,Obersturmbannführer
Dr. Otto Bradfisch,Einsatzgruppe B  Einsatzkommando 8 commander (June 1941 – 1 April 1942),310810,26 September 1938,405869,2.3,Obersturmbannführer
Werner Braune,Commanded Einsatzkommando 11b/Einsatzgruppe Special Purpose Unit D.,107 364,November 1934,581 277,2.3,Obersturmbannführer
Fritz Darges,Born 8 February 1913. With 2nd SS Panzer Division Das Reich and 5th SS Panzer Division Wiking. Died 25 October 2009,72.222,1 April 1933,4.166.936,2.3,Obersturmbannführer
Léon Degrelle,Born 15 June 1906. Belgian Waffen-SS Foreign Legion Commander. Died 31 March 1994,None,1 June 1943,None,2.3,Obersturmbannführer
Joachim Karl Paul Nikolaus Deumling,Born 25 January 1910. Head of Unit IV D 2(General Government Affairs in the Reich) in the Reich Security Main Office (RSHA) and Headed Einsatzkommando 10b as SS-Obersturmbannführer und Oberregierungsrat [March 1943-January 1945] in Croatia; postwar worked for the British Army of the Rhine after the war  but the British blacklisted him for security reasons in 1951; became Intelligence Adviser for Egypt President Gamal Abdel Nasser[9] Arrested on 26 June 1967 in RSHA Trial; released in December 1968. Investigated in 1969 for aiding and abetting the murder of at least 3 823 people { investigations did not lead to an indictment and trial] Died 2 April 2007,187.708,,1.942.286,2.3,Obersturmbannführer
Fritz Dietrich,Born 6 August 1898. SS police chief (SS und PolizeiStandortführer ) in Liepāja (German:Libau)  Latvia. Postwar tried and executed 22 October 1948,280034,May 1936,2674343,2.3,Obersturmbannführer
Adolf Eichmann,Born 19 March 1906. Head of the Gestapo's Sub-Office of Resettlement and later head of the Office of Jewish Affairs under RSHA Amt IV Gestapo and officially known as sub-department  Referat IV B4. Tried and found guilty of war crimes and hanged 1 June 1962,45326,1 April 1932,889895,2.3,Obersturmbannführer
Alfred Karl Wilhelm Filbert,Born 8 September 1905.  Leader of Einsatzkommando 9 (EK 9) in Einsatzgruppe B (EGr B) in June 1941  Arrested August 1959. Sentenced to life; request for revision rejected April 1963; fired for liability April 1975. Died 1 August 1990.,,August 1932,,2.3,Obersturmbannführer
Hans Fleischhacker,Born 10 March 1912. SS-Rasse- und Siedlungshauptamt Died 30 January 1992,307399,1940,7501920,2.3,Obersturmbannführer
Alfred Franke-Gricksch,Born 30 November 1906 in Berlin. Executed 18 August 1952 in Moscow.,,1935,,2.3,Obersturmbannführer
Dr. Otto Furrer,Born 7 August 1910. Psychology researcher with the NSDStB. He went on to join the SS in October 1935. He became a research leader in human experiments involving information extraction.,,5 October 1935,3500544,2.3,Obersturmbannführer
Bruno Gesche,4th Commander of the SS-Begleitkommando des Führers 1934–1945,1093,1927,8592,2.3,Obersturmbannführer
Werner Göttsch,Born 23. October 1912 in Kiel; d 2. May 1983 in Kiel,10.238,15 March 1931,459 389,2.3,Obersturmbannführer
Fritz Hartjenstein,Commandant at Birkenau  Natzweiler concentration camp  Flossenbürg,,,,2.3,Obersturmbannführer
Karl Hass,born 5 October 1912. Joined SD 1934. Involved in deportation of 1 000 Jews to KZ Auschwitz; placed Princess Mafalda of Savoy in German custody. Involved in Ardeatine massacre. Postwar used by US to Spy on USSR; sentenced to life in prison in 1988; died under house arrest 21 April 2004,117557,,,2.3,Obersturmbannführer
Werner Haase,Born 2 August 1900. Hitler's Personal physician. Died 30 November 1950 while a POW of USSR,254.097,1 April 1941,3.081.672,2.3,Obersturmbannführer
Georg Ritter von Hengl,Born 21 October 1897. Commander XIX Mountain Corps. Died 19 March 1952,,1 July 1934,,2.3,Obersturmbannführer
Georg Albert Wilhelm Heuser,Born 27 February 1913; Chief of the KDS [Gestapo] Minsk. Died 30 January 1989,,,,2.3,Obersturmbannführer
Fritz Hippler,Film producer of The Eternal Jew,284122,10 April 1937,62133,2.3,Obersturmbannführer
Wilhelm Höttl,Born 19 March 1915. RSHA Head of Counter Intelligence for Central and Southeastern Europe; second in command to Himmler's representative in Hungary. Höttl was released from confinement in December 1947 and the US Army refused his extradition to the Austrian People's Courts  which at the time took action against Nazi perpetrators. In March 1948 he got in contact with the CIC and became subsequently control chief of two espionage operations  namely MOUNT VERNON and MONTGOMERY. His task was to conduct espionage against the Communist Party of Austria and Soviet activities in the Soviet-occupied part of Austria. Höttl was described by the CIC as an excellent source for ideas  both concrete and theoretical  on the expansion of American Intelligence in Austria. He Died 27 June 1999,309510,1938,6309616,2.3,Obersturmbannführer
Rudolf Höß,Commander of Auschwitz concentration camp,193616,20 September 1933,3240,2.3,Obersturmbannführer
Maximilian Viktor Jesuiter,Born Szczecin;executed by the Soviets in Minsk (Bielorussia) on 06 II 1948,,1932,,2.3,Obersturmbannführer
Kurt Georg Jurgschait,Head of security in Grini detention camp at Norway,,,,2.3,Obersturmbannführer
Dr. Ernest Marcel Kah,born Baden-Baden Germany; became NSDAP member 1 Sept 1932,290543,1 August 1937,1298873,2.3,Obersturmbannführer
Vinzenz Kaiser,Born 28 February 1904 Waltersdorf  Austria. An Old Guard NSDAP member. Formed SA troop in 1927. 1934 fled Austria and joined SS Austrian Legion Adolf Eichmann was also a member of this unit}. 1931 member of SS with rank of Sturmführer. Member of LSSAH. 1938 part of Anschluss-company commander in SS Regiment Der Führer later part of 2nd SS Panzer Division Das Reich. Also member of 16th SS Panzergrenadier Division Reichsführer-SS and 17th SS Panzergrenadier Division Götz von Berlichingen. Awarded Knight's Cross of the Iron Cross. Died while a POW 19/20 April 1945,17127,10 October 1931,54828,2.3,Obersturmbannführer
Herbert Kappler,Born 23 September 1907. Commander of SS and Police Forces in Rome  Italy. In prison from 1948 until escape 1977; died 9 February 1978,55211,8 May 1933,594899,2.3,Obersturmbannführer
Erich Kempka,Born 16 September 1910. Hitler's chauffeur and an original member of SS-Begleitkommando des Führers. Died 24 January 1975,2803,1 April 1930,225639,2.3,Obersturmbannführer
Max Kiefer,Born 15 September 1889  served as SS officer. At Pohl Trial sentenced to life-commuted to 20 years. died 21 February 1974,,,,2.3,Obersturmbannführer
Horst Klein,Born 27 February 1910. Acquitted Pohl trial,114.488,April 1933,2.167.516,2.3,Obersturmbannführer
Max Koegel,Section Commander at Auschwitz,1254463,4 March 1936,215.123,2.3,Obersturmbannführer
Johannes König,SS-RSHA.,452.432,,,2.3,Obersturmbannführer
Dr. Eduard Krebsbach,Born 8 August 1894; served 1940 in 3rd SS Panzer Division Totenkopf; stationed at KZ Mauthuasen and KZ Kaiserwald; executed for war crimes 28 May 1947,106 821,1933,4 142 556,2.3,Obersturmbannführer
Bodo Lafferentz,On staff of the SS Race and Settlement Central Agency. Later involved in researching oil shale sites and wind power also V-2 Rocket development. Organised the Bayreuth opera War Festival.,347155,17 February 1939,2594441,2.3,Obersturmbannführer
Arthur Liebehenschel,Commandant of the Majdanek and Auschwitz death camps  succeeding Rudolf Höß. Served as an adjutant in the Columbia and Lichtenburg camps  Inspectorate of Concentration Camps  and as a senior director in the SS Main Economic and Administrative Office. Prosecuted in the Auschwitz Trial in Kraków and executed by hanging on 28 January 1948.,29254,1 February 1932,932760,2.3,Obersturmbannführer
Heinz Linge,Born 23 March 1913. Hitler's valet 1935–1945. Died 9 March 1980,35795,1932,1.260.490,2.3,Obersturmbannführer
Kurt Lischka,Born 16 August 1909. Tried 1979 with Herbert Hagen and Erich Heinrichsohn. Died 16 May 1989,195590,1 June 1933,,2.3,Obersturmbannführer
Knud Børge Martinsen,Commander of Frikorps Danmark,,,,2.3,Obersturmbannführer
Marko Jesper Matošević,Croat. Commander and overseer of Livac-Zapolje  Usora-Soli and Posavje provinces. Tasked with defense of food supply lines against Yugoslav Partisan paramilitary and suppressing communist rebellion  former spy. Suspected to have migrated to Argentina by the end of the war in 1945 or defecting to Bleiburg  Austria.,802001,1 August 1937,,2.3,Obersturmbannführer
Gerhard Kurt Maywald,Born 16 April 1913; involved with Maly Trostenets extermination camp. Settled after the war in West Germany. In 1970  the public prosecutor's office in Koblenz ended an investigation against him because of the absence of sufficient evidence of guilt. On 4 August 1977 Maywald was sentenced to four years' imprisonment for murder and complicity involving 8 000 Jews in Latvia. Date of death unknown,,,,2.3,Obersturmbannführer
Ain-Ervin Mere,Born 22 February 1903; Died 5 April 1969,,,,2.3,Obersturmbannführer
Brunon Müller-Altenau,Born 13 September 1905. Gestapo and Einsatzkommando Ek2. Tried 1947 sentenced to 20 years; released 1952. Died 1 March 1960.,,,,2.3,Obersturmbannführer
Kunz Andreas Emil Karl Mummenthey,Born 11 July 1906 at Pohl Trial sentenced to Life-commuted to 20 years. Released 18 December 1953,221.079,1934,4.302.359,2.3,Obersturmbannführer
Gustav Adolf Nosske,Head of Aachen Gestapo in 1935 and head of Frankfort Gestapo 1936–1941. Head of Einsatzkommando 12 from 1941 to 1942. In April 1942 Nosske joined the RSHA office in Berlin concerning the Occupied Eastern Territories. In 1943 he was appointed head of the Foreigners and Enemies of the State division of the Gestapo. From August 1943 to September 1944 he was head of the state police in Düsseldorf. On 10 April 1948 Nosske was sentenced to life imprisonment for war crimes. In 1951 his sentence was commuted to ten years in prison.,,1933,,2.3,Obersturmbannführer
Rudolf Oebsger-Röder,Born March 1912. SD-Leader at Einsatzkommando 16 Bromberg  1940 Head of The Office Group II A (Basic Research) in Office II (SD-Inland) of the Reich Security Main Office (RSHA)  leader of the Einsatzkommando Cluj in Hungary 1944; arrested 1946 and sentenced to 18 months in prison in November 1948 (Not carried out because he had already served time in Interment camp). Recruited 1948 as employee of the Gehlen organization/Federal Intelligence Service [Relieved from duties summer 1964]; investigated but not charged for war crimes. Was a correspondent in D.K. Died 21 June 1992,267.393,April 1935,475.061,2.3,Obersturmbannführer
Hermann Pook,Born 1 May 1901 Obersturmbannführer of the Waffen SS  chief dentist of the WVHA. At Pohl Trial-sentenced to 10 years. Reported to have died 1983,155.870,1 June 1933,2.045.1140,2.3,Obersturmbannführer
Karl Rabe,Born 11.06.1905; Muehlhausen. Became member of NSDAP 1 June 1930,54628,1 June 1932,259544,2.3,Obersturmbannführer
Karl Rasche,Head of Dresdner Bank; sentenced 1949 in Ministries Trial to served 7 years; released 1950-died 1951,323.879,May 1939,2.207.508,2.3,Obersturmbannführer
Harald Riipalu,Born 13 February 1912. Estonian member of the SS. Died 4 April 1961,,,,2.3,Obersturmbannführer
Franz Schädle,Last commander of Hitler's personal bodyguard unit  (SS-Begleitkommando des Führers),2605,1 February 1930,73.203,2.3,Obersturmbannführer
Hermann Schaper,Born 12 August 1911. Commander of Kommando SS Zichenau-Schroettersburg and Einsatzgruppe B. In 1976 sentenced to six years in prison but released for medical reasons.,3484,,105606,2.3,Obersturmbannführer
Konrad Schellong,Born 7 February 1910. Joined SA 1932; service (in SS Special Command Saxony [SS-Sonderkommando Sachsen]  later SS Guard Unit Saxony [SS-Wachverbande Sachsen] and SS Death's Head Unit Saxony [SS-Totenkopfverbaende Sachsen])  concentration camp (Konzentrationslager – KL) Sachsenberg 1934–1936; service  SS Death's Head Regiment Upper Bavaria (SS-TV Standarte Oberbayern) at KL Dachau (on 1 Dec 1937 and on 1 Mar 1938) until late 1939; service  SS-Division Wiking to Jul 1942; commander  SS Volunteer Legion Flanders (Kdr. SS-Freiwilligen-Legion Flandern) 11 or 14 Jul 1942-May 1943; commander  SS Volunteer Assault Brigade Langemarck (Kdr. SS-Freiwilligen-Sturmbrigade Langemarck) 31 May-19 Oct 1944; commander  27th SS Volunteer Grenadier Division Langemarck (Kdr. 27.SS-Freiwilligen-Grenadier-Division Langemarck) (on 19 Oct 1944) [Knights Cross 1945] Served ..as a guard and later commander at the Sachsenburg and Dachau Nazi death camps from 1934 to 1939. Moved to Chicago IL after the war; became US citizen 1962; complaint filed against him by US Justice Department Office of Special Investigations (OSI) 17 Mar 1981; put on trial 25 May-4 Jun 1982; US Citizenship revoked 9 Sept 1982 (NYT 10 Sept 1982:14:6); appeal filed 1 May 1983; decided in favor of U.S. Govt. 24 Aug 1983; deportation charges filed by OSI 8 Dec 1983; decision on appeal pending as of Sept 1984; verdict upheld by Seventh Circuit court Oct 1986; Supreme Court refused to review Apr 1987 (NYT 7 Apr 1987:II:2:1; NYT 24 Apr 1987:6:4); deportation to West Germany announced 23 Sept 1988 (NYT 8 Oct 1982:10:1; NYT 24 Sept 1988:6:6; ABR-SS; Schellong v. INS  547 F. Supp. 569; Schellong v. INS  717 F.2d 329; Schellong v. INS  805 F.2d 655; cert. denied Schellong v. INS  465 U.S. 1007; Dienstaltersliste der Waffen-SS [1 Jul 1944]).} Deported to West Germany in 1988  where he died 7 February 1992,13553,,,2.3,Obersturmbannführer
Heinz Schubert,Born 27 August 1914. Defendant in Einsatzgruppen Trial sentenced to death-commuted to 10 years. Died 17 August 1987,107326,10 October 1934,3474350,2.3,Obersturmbannführer
Richard Schulze,b.20 Sept 1898. Chef der Gestapo in Darmstadt. 1937 wurde er Chef der Kriminalpolizei von Gleiwitz. Im September 1939 war er im Stab der Einsatzgruppe II in Polen eingesetzt  danach war er als Kripochef in Kattowitz und ab 1941 in Königsberg (Preußen) tätig. Im August 1942 amtierte er im Rang eines Oberregierungsrates als Kriminalrat und Gruppenleiter im Reichskriminalpolizeiamt. Dort führte er im Amt V die Gruppe C (Stellvertreter Kurt Amend[de])  die unter anderem nach entflohenen Kriegsgefangenen fahndete und hatte zudem die Funktion eines Verbindungsführers des RSHA zum Chef des Kriegsgefangenenwesens inne. d.29 Dec 1969,,1938,4.705.801,2.3,Obersturmbannführer
Richard SchulzeA.k.a. Richard Schulze-Kossens,Commander of SS Officers School Bad Tölz  Bavaria,,November 1934,264.059,2.3,Obersturmbannführer
Johann Schwarzhuber,b.29 August 1904. Connected with KZ Dachau and KZ Auschwitz. Executed 3 May 1947,142.388,8 April 1933,1.929.969,2.3,Obersturmbannführer
Ilya Shavykin,Executed with Bronislav Kaminski 28.08.1944,,,,2.3,Obersturmbannführer
Walter Sohst,SD Section III,,,,2.3,Obersturmbannführer
Eduard Strauch,Born 17 August 1906 Commander of Einsatzkommando 2  anschliessend commander of two Nazi organizations  the Security Police (German:Sicherheitspolizei)  or SiPo  and the Security Service (German:Sicherheitsdienst  or SD  first in Belarus (then called White Russia or White Ruthenia) and later in Belgium. In October 1944  he was transferred to the Waffen-SS. Died 15 September 1955 in prison hospital.,19.312,December 1931,623.392,2.3,Obersturmbannführer
Dr. Ludwig Stumpfegger,Born 11 July 1910. Worked under Dr. Karl Gebhardt with Dr. Fritz Fischer and Dr. Herta Oberheuser in medical experiments on human subjects from Ravensbrück. Hitler's personal surgeon from 1944  forward. Some sources report that he helped Magda Goebbels kill her children as they slept in the Vorbunker on 1 May 1945. Died 2 May 1945 while trying to flee Berlin,83.668,2 June 1933,3.616.119,2.3,Obersturmbannführer
Christian Frederik von Schalburg,Commander of Frikorps Danmark,,,,2.3,Obersturmbannführer
Heinz Tensfeld,Born 11 May 1919.SS-Hstuf and Chef 8./Pz.Rgt.2 in Nov 1943. Killed 16 Nov 1943 at Gralimki,400139,,,2.3,Obersturmbannführer
Anton Thernes,Born 8 February 1892. Commandant of KZ Majdanek. Executed 3 December 1944,,,,2.3,Obersturmbannführer
Martin Gottfried Weiss,Born 3 June 1905 Weiden in der Oberpfalz. Commandant at Neuengamme concentration camp and in 1945 Dachau concentration camp. Executed 29 May 1946 Landsberg Germany,31147,,43136,2.3,Obersturmbannführer
Eduard Weiter,Born: 18 July 1889 in Eschwege near Kassel in Germany. Served in World War I. Commandant of Dachau 1943–1945. Alleged to have been shot by one of his own subordinates April 1945 and died 2 May 1945,276877,October 1936,3.958.951,2.3,Obersturmbannführer
Wolfgang Wetzling,Born 1909. Was also a SS-Oberfeldrichter as well as chief judge of division z.V.Defendant in 1957 trial of March 1945 Amsberger Massacre. in 1958 Sentenced to five years in prison for manslaughter in 151 cases. Sentenced to life in prison;was released on 1 March 1974 after 13 and2 years in prison,,,,2.3,Obersturmbannführer
Max Wielen,Oberregierungs- und Kriminalrat (ORuKR). Reserve captain retd. Position: Chief  Stapoleitstelle Breslau. Involved in killing of POWs from The Great Escape. Sentenced to prison 1947. Released 24 October 1952,128841,,1759395,2.3,Obersturmbannführer
Gustav Abb,SS major and Head of central administration of libraries in Poland,,July 1940,,2.4,Sturmbannführer
Hans Aumeier,Deputy Commandant KZ Auschwitz,2.700,August 1929,164.755,2.4,Sturmbannführer
Richard Baer,Commander at KZ Auschwitz I,44225,1932,454991,2.4,Sturmbannführer
Rudolf Batz,Born 10 November 1903. Leader of Einsatzkommando 2; KdS (Kommandeur der Sicherheitspolizei) in Cracow and shortly after that became the head of the Gestapo in Hannover. Committed suicide after 1961 arrest.,272458,10 December 1935,2955,2.4,Sturmbannführer
Wilhelm Beisner,Born 18 August 1911. In August 1930 joined the SA and in September 1930 the NSDAP. Officer with Einsatzkommando Egypt. Also in 1944 Commander of the Security Police and SD in Trieste. Postwar was an arms dealer and trade agent in Arab countries. Recruited for German Federal Intelligence Service (BND) in October 1957. On 16 October 1960 injured in car explosion in which he lost his leg. Lived in Tunis from 1961 and remained there – at least until the 1980s – as a discussion scout for the BND. Died sometime after 1980.,65 698,November 1930,374.194,2.4,Sturmbannführer
Ernst Biberstein,Commander of SS action command 6/action group C [EK 6/Egr. C].Tried 1947/1948 and sentenced to death. Sentence commuted to Life imprisonment in 1951. After 1958 prison release  reported to have been part of the Gehlen Org. Died 8 December 1986.,272962,13 September 1936,40718,2.4,Sturmbannführer
Friedrich Boßhammer,Born 20 December 1906. Associate of Adolf Eichmann; deported Jews from Italy. Tried for war crimes in 1968. Died in custody 17 December 1972,307.435,1 October 1937,2.326.130,2.4,Sturmbannführer
Karl Bömelburg,Gestapo leader in France,35898,1931,892239,2.4,Sturmbannführer
Hermann Otto Bundtke,Born Zduny (Krs. Krotochin/Prov. Posen) 05.09.1897. SS-Sturmbannführer und Major der Schutzpolizei. As Commander of the Third Battalion of the 23rd SS Regiment and the Police (Battalion III/SS-Polizei Regiment 23) participated in executions of Poles and Jews in the Warsaw Ghetto ruins. Was the commander of the Schutzpolizei Bataillon z.b.V. der BdO Rhein-Westmark between XI 1944 and 28 III 1945. Awarded War Cross of Merit I. Class with Swords. Residing in Solingen after the war,323.311,1 May 1939,3.471.565,2.4,Sturmbannführer
Anton Burger,Commandant of Theresienstadt concentration camp,,,,2.4,Sturmbannführer
Joseph Darnand,Born 19 March 1897. French Waffen-SS Foreign Legion Commander  executed 10 October 1945,,,,2.4,Sturmbannführer
Erich Deppner,Born 8 August 1910; Ustuf 9 Nov 38; Hstuf 20 Apr 39. Connected with KZ Westerbork; Amersfoot; Vught. Postwar employed by the Gehlen Org. 1964 tried for war Crimes [Acquitted]. Died 13 December 2005,177 571,,1 254 844,2.4,Sturmbannführer
Adolf Diekmann,Born 18 December 1914. Involved in Oradour-sur-Glane massacre. KIA 29 June 1944,,,,2.4,Sturmbannführer
Josef Hugo Dischner,Commandant of KZ Westerbork,,,,2.4,Sturmbannführer
Walter Drexler,Awarded Knight's Cross of the Iron Cross,239247,March 1938,,2.4,Sturmbannführer
Otto Förschner,KZ Commandant,191.554,,5 274 260,2.4,Sturmbannführer
Yuri Frolov,Member of S.S. Sturmbrigade R.O.N.A.,,,,2.4,Sturmbannführer
Dr. Helmut Hugo Glaser,Born 27 September 1910 in Gmuend  Austria. Joined NSDAP 8 May 1931,301760,10 OCt 1930,444132,2.4,Sturmbannführer
Kurt Andreas Graaf,Born 8 January 1909. Member of SD-section III. Died 2 September 1972,36.179,27 July 1932,183.351,2.4,Sturmbannführer
Dr. Herbert Grohmann,Born 13 September 1908 in Breslau {Wroclaw}. A doctor of Waffen-SS and became a member of NSDAP 1 June 1931,51663,18 January 1932,544053,2.4,Sturmbannführer
Adam Grünewald,Commandant of Herzogenbusch concentration camp,,1934,,2.4,Sturmbannführer
Hans Günther,Born 22 August 1910. Adolf Eichmann deputy. Brother of Rolf Günther. Killed 5 May 1945,290.129,1937,119.925,2.4,Sturmbannführer
Rolf Günther,Born 8 January 1913. Adolf Eichmann deputy. Brother of Hans Gunther. Died August 1945,290.130,1937,472.421,2.4,Sturmbannführer
Bernard Harald Haase,Born 14 October 1910 Altleis. Commandant SD-Aussenstelle Groningen. Death sentence 20 March 1950. Commuted 21 January 1950. Released 1 September 1959. Died 9 September 1968 at Bensberg,,,,2.4,Sturmbannführer
Joachim Hamann,Born 18  May 1913. Served in Einsatzkommando 3 and 4b 22 June 1941 – 2 October 1941. Commanded the Rollkommando Hamann. Worked at Amt IV of RSHA (Gestapo). Aide to Ernst Kaltenbrunner. Died 13 July 1945,314267,,958322,2.4,Sturmbannführer
Ernst Hermann Himmler,Born 23 December 1905. Brother of Heinrich Himmler. Killed in Battle of Berlin May 1945,,1933,676777,2.4,Sturmbannführer
Dr. Ernst Holzlöhner,Born 23 February 1899 in Insterburg  Germany. Committed suicide June 1945,,1934,,2.4,Sturmbannführer
Wilhelm Höttl,Served as political advisor to Edmund Veesenmayer  German plenipotentiary in Hungary during 1944.  Hoettl testified for the defense at the Nuremberg trials.[8],309510,,6309616,2.4,Sturmbannführer
Hermann Höfle,Deputy head of the Aktion Reinhard programme. Postwar member of Gehlen Organization,307469,,,2.4,Sturmbannführer
Axel Holst,Born 11 August 1891 Vallby Sweden. Immigrated to Germany and became member of SS Reiter Troop; attached to SS Oberabschnitt Nord; became a Sturmbannführer on 23 June 1934. Killed in a riding accident 26 January 1935,185012,,,2.4,Sturmbannführer
Hans Hüttig,born 5 April 1894. Involved in KZ Buchenwald  KZ Sachsenhausen  KZ Flossenbürg  KZ Natzweiler-Struthof  KZ Herzogenbusch  Grini detention camp. Detained 1945. Sentenced to death 2 July 1954. Released 1956. Died 23 February 1980.,,March 1932,,2.4,Sturmbannführer
Professor Herbert Jankuhn,Member of Ahnenerbe,,,,2.4,Sturmbannführer
Max Joseph Jesuiter,Born 1897. Stabsführer der SSPF Warschau; as Chief of Staff cosigned Stroop Report 19 April 1943 – 9 May 1943. Died 1972,,,,2.4,Sturmbannführer
Helmut Kämpfe,SS Officer captured by the French Resistance  which led to Oradour sur Glane massacre,124.465,,2.387.476,2.4,Sturmbannführer
Karl-Heinz Keitel,Kavallerie-Regiment Nord; 22nd SS Volunteer Cavalry Division Maria Theresia; 37th SS Volunteer Cavalry Division Lützow,,,,2.4,Sturmbannführer
